kanji,kana,ru,pos
口,くち,рот,сущ
手,て,рука; кисть руки,сущ
足,あし,нога; ступня,сущ
行く,いく,идти; ехать,гл
来る,くる,приходить; приезжать,гл
帰る,かえる,возвращаться; возвращаться домой,гл
食べる,たべる,есть; кушать,гл
飲む,のむ,пить,гл
見る,みる,смотреть; видеть,гл
聞く,きく,слушать; спрашивать,гл
読む,よむ,читать,гл
書く,かく,писать,гл
話す,はなす,говорить; разговаривать,гл
言う,いう,говорить; сказать,гл
買う,かう,покупать,гл
売る,うる,продавать,гл
会う,あう,встречаться; встречать,гл
待つ,まつ,ждать,гл
立つ,たつ,стоять; вставать,гл
座る,すわる,сидеть; садиться,гл
寝る,ねる,спать; ложиться спать,гл
起きる,おきる,вставать; просыпаться,гл
働く,はたらく,работать,гл
休む,やすむ,отдыхать; брать выходной,гл
勉強する,べんきょうする,учиться; заниматься,гл
教える,おしえる,преподавать; объяснять; учить,гл
覚える,おぼえる,запоминать; выучивать,гл
忘れる,わすれる,забывать,гл
分かる,わかる,понимать,гл
知る,しる,знать; узнавать,гл
作る,つくる,делать; изготавливать; готовить,гл
使う,つかう,использовать; пользоваться,гл
入る,はいる,входить; поступать,гл
出る,でる,выходить; отправляться,гл
乗る,のる,садиться (в транспорт); ехать (на),гл
降りる,おりる,выходить (из транспорта); спускаться,гл
歩く,あるく,ходить пешком; гулять,гл
走る,はしる,бежать,гл
泳ぐ,およぐ,плавать,гл
遊ぶ,あそぶ,играть; развлекаться,гл
歌う,うたう,петь,гл
開ける,あける,открывать,гл
閉める,しめる,закрывать,гл
付ける,つける,включать,гл
消す,けす,выключать; стирать; гасить,гл
洗う,あらう,мыть; стирать,гл
掃除する,そうじする,убираться; делать уборку,гл
死ぬ,しぬ,умирать,гл
住む,すむ,жить; проживать,гл
撮る,とる,фотографировать; снимать,гл
貸す,かす,одалживать; давать взаймы,гл
借りる,かりる,брать взаймы; брать в долг; арендовать,гл
あげる,あげる,давать; дарить,гл
もらう,もらう,получать,гл
大きい,おおきい,большой,прил
小さい,ちいさい,маленький,прил
新しい,あたらしい,новый,прил
古い,ふるい,старый,прил
良い,いい,хороший,прил
悪い,わるい,плохой,прил
高い,たかい,высокий; дорогой,прил
安い,やすい,дешёвый,прил
低い,ひくい,низкий,прил
暑い,あつい,жаркий,прил
寒い,さむい,холодный,прил
熱い,あつい,горячий,прил
冷たい,つめたい,холодный (на ощупь),прил
難しい,むずかしい,трудный; сложный,прил
易しい,やさしい,лёгкий; простой,прил
美味しい,おいしい,вкусный,прил
不味い,まずい,невкусный,прил
忙しい,いそがしい,занятой; занятый,прил
楽しい,たのしい,весёлый; приятный; радостный,прил
面白い,おもしろい,интересный; забавный,прил
つまらない,つまらない,скучный; неинтересный,прил
早い,はやい,ранний,прил
速い,はやい,быстрый,прил
遅い,おそい,поздний; медленный,прил
近い,ちかい,близкий,прил
遠い,とおい,далёкий,прил
長い,ながい,длинный,прил
短い,みじかい,короткий,прил
広い,ひろい,широкий; просторный,прил
狭い,せまい,узкий; тесный,прил
明るい,あかるい,светлый; яркий,прил
暗い,くらい,тёмный,прил
重い,おもい,тяжёлый,прил
軽い,かるい,лёгкий (по весу),прил
強い,つよい,сильный,прил
弱い,よわい,слабый,прил
白い,しろい,белый,прил
黒い,くろい,чёрный,прил
赤い,あかい,красный,прил
青い,あおい,синий; голубой,прил
可愛い,かわいい,милый; симпатичный,прил
綺麗,きれい,красивый; чистый,на-прил
静か,しずか,тихий; спокойный,на-прил
賑やか,にぎやか,оживлённый; шумный,на-прил
有名,ゆうめい,известный; знаменитый,на-прил
元気,げんき,бодрый; здоровый; энергичный,на-прил
暇,ひま,свободный (о времени); свободное время,на-прил
便利,べんり,удобный,на-прил
大変,たいへん,тяжёлый; ужасный; очень,на-прил
大丈夫,だいじょうぶ,в порядке; всё хорошо,на-прил
好き,すき,любимый; нравится,на-прил
嫌い,きらい,нелюбимый; не нравится,на-прил
上手,じょうず,умелый; хорошо получается,на-прил
下手,へた,неумелый; плохо получается,на-прил
たくさん,たくさん,много,нар
少し,すこし,немного; чуть-чуть,нар
とても,とても,очень,нар
もっと,もっと,ещё; больше,нар
いつも,いつも,всегда,нар
時々,ときどき,иногда,нар
一緒に,いっしょに,вместе,нар
ゆっくり,ゆっくり,медленно; не спеша,нар
また,また,снова; опять; ещё,нар
まだ,まだ,ещё; пока ещё,нар
もう,もう,уже,нар
