kanji,kana,ru,pos,level
階段,かいだん,лестница,сущ,3
エレベーター,エレベーター,лифт,сущ,3
エスカレーター,エスカレーター,эскалатор,сущ,3
売り場,うりば,отдел (в магазине),сущ,3
地下,ちか,подвал; подземный этаж,сущ,3
入り口,いりぐち,вход,сущ,3
出口,でぐち,выход,сущ,3
図書館,としょかん,библиотека,сущ,3
国,くに,страна,сущ,3
会社,かいしゃ,компания; фирма,сущ,3
靴,くつ,обувь,сущ,3
ネクタイ,ネクタイ,галстук,сущ,3
ワイン,ワイン,вино,сущ,3
いくら,いくら,сколько стоит,вопр,3
起きます,おきます,вставать; просыпаться,гл,4
寝ます,ねます,ложиться спать,гл,4
働きます,はたらきます,работать,гл,4
休みます,やすみます,отдыхать,гл,4
勉強します,べんきょうします,учиться; заниматься,гл,4
終わります,おわります,заканчиваться,гл,4
デパート,デパート,универмаг,сущ,4
銀行,ぎんこう,банк,сущ,4
郵便局,ゆうびんきょく,почта,сущ,4
美術館,びじゅつかん,художественный музей,сущ,4
今,いま,сейчас,сущ,4
午前,ごぜん,до полудня,сущ,4
午後,ごご,после полудня,сущ,4
半,はん,половина,сущ,4
何時,なんじ,который час,вопр,4
何曜日,なんようび,какой день недели,вопр,4
月曜日,げつようび,понедельник,сущ,4
火曜日,かようび,вторник,сущ,4
水曜日,すいようび,среда,сущ,4
木曜日,もくようび,четверг,сущ,4
金曜日,きんようび,пятница,сущ,4
土曜日,どようび,суббота,сущ,4
日曜日,にちようび,воскресенье,сущ,4
朝,あさ,утро,сущ,4
昼,ひる,день; полдень,сущ,4
晩,ばん,вечер,сущ,4
夜,よる,ночь,сущ,4
休み,やすみ,выходной; отдых; перерыв,сущ,4
昼休み,ひるやすみ,обеденный перерыв,сущ,4
毎朝,まいあさ,каждое утро,нар,4
毎晩,まいばん,каждый вечер,нар,4
毎日,まいにち,каждый день,нар,4
番号,ばんごう,номер,сущ,4
行きます,いきます,идти; ехать,гл,5
来ます,きます,приходить; приезжать,гл,5
帰ります,かえります,возвращаться,гл,5
学校,がっこう,школа,сущ,5
スーパー,スーパー,супермаркет,сущ,5
駅,えき,станция; вокзал,сущ,5
飛行機,ひこうき,самолёт,сущ,5
船,ふね,корабль; судно,сущ,5
電車,でんしゃ,электричка,сущ,5
地下鉄,ちかてつ,метро,сущ,5
新幹線,しんかんせん,синкансэн,сущ,5
バス,バス,автобус,сущ,5
タクシー,タクシー,такси,сущ,5
自転車,じてんしゃ,велосипед,сущ,5
歩いて,あるいて,пешком,нар,5
人,ひと,человек,сущ,5
友達,ともだち,друг,сущ,5
彼,かれ,он; парень,мест,5
彼女,かのじょ,она; девушка,мест,5
家族,かぞく,семья,сущ,5
一人で,ひとりで,один; в одиночку,нар,5
先週,せんしゅう,прошлая неделя,сущ,5
今週,こんしゅう,эта неделя,сущ,5
来週,らいしゅう,следующая неделя,сущ,5
先月,せんげつ,прошлый месяц,сущ,5
今月,こんげつ,этот месяц,сущ,5
来月,らいげつ,следующий месяц,сущ,5
去年,きょねん,прошлый год,сущ,5
今年,ことし,этот год,сущ,5
来年,らいねん,следующий год,сущ,5
誕生日,たんじょうび,день рождения,сущ,5
